aa 式
ab 节
ac 芭
ad 基
ae 菜
af 革
ag 七
ah 牙
ai 东
aj 划
ak 或
al 功
am 贡
an 世
ap 芝
aq 区
ar 匠
as 苛
at 攻
au 燕
av 切
aw 共
ax 药
ay 芳
ba 陈
bb 子
bc 取
bd 承
be 阴
bf 际
bg 卫
bh 耻
bi 孙
bj 阳
bk 职
bl 阵
bm 出
bn 也
bo 耿
bp 辽
bq 隐
br 孤
bs 阿
bt 降
bu 联
bv 限
bw 队
bx 陛
by 防
ca 戏
cb 邓
cc 双
cd 参
ce 能
cf 对
cg 骊
cj 骒
ck 台
cl 劝
cm 观
cn 马
cp 驼
cq 允
cr 牟
cs 骠
ct 矣
cv 艰
cw 难
cy 驻
da 左
db 顾
dc 友
dd 大
de 胡
df 夺
dg 三
dh 丰
di 砂
dj 百
dk 右
dl 历
dm 面
dn 成
do 灰
dp 达
dq 克
dr 原
ds 厅
dt 帮
du 磁
dv 肆
dw 春
dx 龙
dy 太
ea 肛
eb 服
ec 肥
ed 须
ee 朋
ef 肝
eg 且
ei 膛
ej 胆
ek 肿
el 肋
em 肌
en 甩
ep 爱
eq 胸
er 遥
es 采
et 用
eu 胶
ev 妥
ew 脸
ex 脂
ey 及
fa 载
fc 支
fd 城
fe 圾
ff 寺
fg 二
fh 直
fi 示
fj 进
fk 吉
fl 协
fm 南
fn 志
fo 赤
fp 过
fq 无
fr 垢
fs 霜
ft 才
fu 增
fv 雪
fw 夫
fy 坟
ga 开
gb 屯
gc 到
gd 天
ge 表
gf 于
gg 五
gh 下
gj 理
gk 事
gl 画
gm 现
gn 与
go 来
gq 列
gr 珠
gs 末
gt 玫
gu 平
gv 妻
gw 珍
gx 互
gy 玉
ha 虎
hc 皮
hd 睚
he 肯
hf 睦
hg 睛
hh 止
hi 步
hj 旧
hk 占
hl 卤
hm 贞
hn 卢
ho 眯
hp 瞎
hq 餐
hr 睥
hs 盯
ht 睡
hu 瞳
hv 眼
hw 具
hx 此
hy 眩
ia 江
ib 池
ic 汉
id 尖
ie 肖
if 法
ig 汪
ih 小
ii 水
ij 浊
ik 澡
il 渐
im 没
in 沁
io 淡
ip 学
iq 光
ir 泊
is 洒
it 少
iu 洋
iv 当
iw 兴
ix 涨
iy 注
ja 虹
jb 最
jc 紧
jd 晨
je 明
jf 时
jg 量
jh 早
ji 晃
jj 昌
jk 蝇
jl 曙
jm 遇
jn 电
jo 显
jp 晕
jq 晚
jr 蝗
js 果
jt 昨
ju 暗
jv 归
jw 蛤
jx 昆
jy 景
ka 呀
kb 啊
kc 吧
kd 顺
ke 吸
kf 叶
kg 呈
ki 吵
kj 虽
kk 吕
kl 另
km 员
kn 叫
kp 喧
kq 史
kr 听
ks 呆
kt 呼
ku 啼
kv 哪
kw 只
kx 哟
ky 嘛
lb 囝
lc 轻
ld 因
le 胃
lf 轩
lg 车
lh 四
lj 辊
lk 加
ll 男
lm 轴
ln 思
lo 辚
lp 边
lq 罗
lr 斩
ls 困
lt 力
lu 较
lv 轨
lw 办
lx 累
ly 罚
ma 曲
mb 邮
mc 凤
md 央
me 骨
mf 财
mh 由
mi 峭
mj 则
ml 崭
mm 册
mn 岂
mp 迪
mq 风
mr 贩
ms 朵
mt 几
mu 赠
mw 内
mx 嶷
my 凡
nb 敢
nc 怪
nd 居
nf 导
ng 怀
nh 收
ni 悄
nj 慢
nk 避
nl 惭
nm 届
nn 忆
no 屡
np 忱
nq 懈
nr 怕
nt 必
nu 习
nv 恨
nw 愉
nx 尼
ny 心
oa 煤
ob 籽
oc 烃
od 类
oe 粗
of 灶
og 业
oh 粘
oi 炒
oj 烛
ok 炽
ol 烟
om 灿
on 断
oo 炎
op 迷
oq 炮
or 煌
os 灯
ot 烽
ou 料
ov 娄
ow 粉
ox 糨
oy 米
pa 宽
pb 字
pd 害
pe 家
pf 守
pg 定
ph 寂
pi 宵
pj 审
pk 宫
pl 军
pm 宙
pn 官
po 灾
pp 之
pq 宛
pr 宾
ps 宁
pt 客
pu 实
pv 安
pw 空
px 它
py 社
qa 氏
qb 凶
qc 色
qd 然
qe 角
qf 针
qg 钱
qh 外
qi 乐
qj 旬
qk 名
ql 甸
qm 负
qn 包
qo 炙
qp 锭
qq 多
qr 铁
qs 钉
qt 儿
qu 匀
qv 争
qw 欠
qy 久
ra 找
rb 报
rc 反
rd 拓
re 扔
rf 持
rg 后
rh 年
ri 朱
rj 提
rk 扣
rl 押
rm 抽
rn 所
ro 搂
rp 近
rq 换
rr 折
rs 打
rt 手
ru 拉
rv 扫
rw 失
rx 批
ry 扩
sa 械
sb 李
sc 权
sd 枯
se 极
sf 村
sg 本
sh 相
si 档
sj 查
sk 可
sl 楞
sm 机
sn 杨
so 杰
sp 棕
sq 构
sr 析
ss 林
st 格
su 样
sw 检
sx 楷
sy 术
ta 长
tb 季
tc 么
td 知
te 秀
tf 行
tg 生
th 处
ti 秒
tj 得
tk 各
tl 务
tm 向
tn 秘
to 秋
tp 管
tq 称
tr 物
ts 条
tt 笔
tu 科
tv 委
tw 答
tx 第
ty 入
ua 并
ub 闻
uc 冯
ud 关
ue 前
uf 半
ug 闰
uh 站
ui 冰
uj 间
uk 部
ul 曾
um 商
un 决
uo 普
up 帝
uq 交
ur 瓣
us 亲
uu 立
uv 妆
uw 闪
ux 北
uy 六
va 毁
vb 好
vc 妈
vd 姑
ve 奶
vf 寻
vg 姨
vi 录
vj 旭
vk 如
vl 舅
vm 妯
vn 刀
vo 灵
vp 巡
vq 婚
vs 杂
vt 九
vu 嫌
vv 妇
vx 姆
vy 妨
wa 代
wb 他
wc 公
wd 估
we 仍
wf 会
wg 全
wh 个
wi 偿
wj 介
wk 保
wl 佃
wm 仙
wn 亿
wo 伙
wq 你
wr 伯
ws 休
wt 作
wu 们
wv 分
ww 从
wx 化
wy 信
xa 红
xb 弛
xd 顷
xe 级
xf 结
xg 线
xh 引
xi 纱
xj 旨
xk 强
xl 细
xm 纲
xn 纪
xo 继
xp 综
xq 约
xr 绵
xt 张
xu 弱
xv 绿
xw 给
xx 比
xy 纺
ya 度
yb 离
yc 充
yd 庆
ye 衣
yf 计
yh 让
yi 就
yj 刘
yk 训
ym 高
yn 记
yo 变
yq 义
yr 诉
ys 订
yt 放
yu 说
yv 良
yw 认
yx 率
yy 方
