一个 yi|ge 165652
没有 mei|you 106584
我们 wo|men 106096
什么 shen|me 103411
自己 zi|ji 83124
他们 ta|men 75471
发信 fa|xin 72748
回到 hui|dao 64363
可以 ke|yi 64338
不是 bu|shi 63823
我的 wo|de 62684
中国 zhong|guo 62300
这个 zhe|ge 62085
知道 zhi|dao 58522
文件 wen|jian 57422
就是 jiu|shi 56511
一篇 yi|pian 51896
他的 ta|de 50266
这样 zhe|yang 49557
的人 de|ren 48799
时候 shi|hou 46526
已经 yi|jing 44639
因为 yin|wei 44362
目录 mu|lu 40874
现在 xian|zai 39952
起来 qi|lai 39781
如果 ru|guo 38319
也不 ye|bu 38269
问题 wen|ti 37376
发信人 fa|xin|ren 36374
怎么 zen|me 35731
来源 lai|yuan 34856
还是 hai|shi 34389
个人 ge|ren 33931
美国 mei|guo 33149
不能 bu|neng 32682
不知 bu|zhi 32574
返回 fan|hui 32194
到了 dao|le 31573
她的 ta|de 31567
出来 chu|lai 30860
一页 yi|ye 29941
一种 yi|zhong 29737
可能 ke|neng 29635
这种 zhe|zhong 29617
一样 yi|yang 29098
这些 zhe|xie 28901
但是 dan|shi 28405
觉得 jue|de 27992
这是 zhe|shi 27914
所以 suo|yi 27411
这一 zhe|yi 26913
在这 zai|zhe 26572
你的 ni|de 25927
开始 kai|shi 25759
世界 shi|jie 25662
的是 de|shi 25551
不会 bu|hui 25533
那个 na|ge 25496
不过 bu|guo 25172
那么 na|me 25055
时间 shi|jian 24835
只是 zhi|shi 24833
一次 yi|ci 24683
都是 dou|shi 24624
自己的 zi|ji|de 24281
两个 liang|ge 24201
一些 yi|xie 24099
一下 yi|xia 23924
一点 yi|dian 23615
东西 dong|xi 23379
还有 hai|you 22971
工作 gong|zuo 22946
可是 ke|shi 22846
这么 zhe|me 22341
来了 lai|le 21721
第一 di|yi 21617
这里 zhe|li 20929
也是 ye|shi 20733
生活 sheng|huo 20457
我说 wo|shuo 20384
地方 di|fang 20140
的话 de|hua 20114
你们 ni|men 20078
孩子 hai|zi 19968
有的 you|de 19583
然后 ran|hou 19484
只有 zhi|you 19408
女人 nv|ren 19204
日本 ri|ben 19158
看到 kan|dao 19077
是在 shi|zai 19028
科学 ke|xue 18955
去了 qu|le 18752
所有 suo|you 18738
